path,N,method,duration,objective,fairness,min,max,mean,std
../instances/100/test/instance52_nreq100_nveh2_gamma89.txt,100,RC,1.09642,4063.08,gini,1,88,44.5,61.5183
../instances/100/test/instance52_nreq100_nveh2_gamma89.txt,100,BS,13.6041,3509.73,gini,44,45,44.5,0.707107
../instances/100/test/instance52_nreq100_nveh2_gamma89.txt,100,GA,11060,3006.49,gini,7,82,44.5,53.033
../instances/500/test/instance59_nreq500_nveh10_gamma448.txt,500,DC ,13.1108,43208.6,jain,0,92,44.8,45.6917
../instances/500/test/instance59_nreq500_nveh10_gamma448.txt,500,RC,11.0145,45700,jain,0,92,44.8,45.6917
../instances/500/test/instance59_nreq500_nveh10_gamma448.txt,500,BS,76.9649,38919.7,jain,44,45,44.8,0.421637
../instances/500/test/instance59_nreq500_nveh10_gamma448.txt,500,GA,49224.2,38554,jain,10,68,44.8,18.6059
../instances/500/test/instance47_nreq500_nveh10_gamma462.txt,500,DC ,9.03046,44114.1,jain,0,97,46.2,47.6114
../instances/500/test/instance47_nreq500_nveh10_gamma462.txt,500,RC,9.97671,45656.3,jain,0,97,46.2,47.6114
../instances/500/test/instance47_nreq500_nveh10_gamma462.txt,500,BS,78.6615,41525.5,jain,46,47,46.2,0.421637
../instances/500/test/instance47_nreq500_nveh10_gamma462.txt,500,GA,57996.3,38519.7,jain,0,97,46.2,30.0067
../instances/500/test/instance35_nreq500_nveh10_gamma472.txt,500,DC ,13.7336,44730.7,jain,0,98,47.2,48.721
../instances/500/test/instance35_nreq500_nveh10_gamma472.txt,500,RC,10.4571,44601.4,jain,0,98,47.2,48.721
../instances/500/test/instance35_nreq500_nveh10_gamma472.txt,500,BS,84.629,43634.6,jain,47,48,47.2,0.421637
../instances/500/test/instance35_nreq500_nveh10_gamma472.txt,500,GA,66606.9,39326.5,jain,0,94,47.2,36.3343
../instances/500/test/instance46_nreq500_nveh10_gamma436.txt,500,DC ,12.756,41797.9,jain,0,90,43.6,44.6522
../instances/500/test/instance46_nreq500_nveh10_gamma436.txt,500,RC,13.8878,42190,jain,0,90,43.6,44.6522
../instances/500/test/instance46_nreq500_nveh10_gamma436.txt,500,BS,109.876,39254.7,jain,43,44,43.6,0.516398
../instances/500/test/instance46_nreq500_nveh10_gamma436.txt,500,GA,74131.7,36984,jain,2,79,43.6,32.0735
../instances/500/test/instance33_nreq500_nveh10_gamma459.txt,500,DC ,13.3529,41871.1,jain,0,98,45.9,47.1816
../instances/500/test/instance33_nreq500_nveh10_gamma459.txt,500,RC,14.6679,44351.4,jain,0,98,45.9,47.1816
../instances/500/test/instance33_nreq500_nveh10_gamma459.txt,500,BS,121.247,41114.3,jain,45,46,45.9,0.316228
../instances/500/test/instance33_nreq500_nveh10_gamma459.txt,500,GA,75877.8,38358.6,jain,0,108,45.9,42.9844
../instances/500/test/instance46_nreq500_nveh10_gamma436.txt,500,DC ,8.4951,42876.9,maxmin,0,90,43.6,44.6522
../instances/500/test/instance46_nreq500_nveh10_gamma436.txt,500,RC,9.44611,44293.9,maxmin,0,90,43.6,44.6522
../instances/500/test/instance46_nreq500_nveh10_gamma436.txt,500,BS,71.5252,39634.7,maxmin,43,44,43.6,0.516398
../instances/500/test/instance46_nreq500_nveh10_gamma436.txt,500,GA,39555.2,37595.5,maxmin,40,47,43.6,2.06559
../instances/500/test/instance59_nreq500_nveh10_gamma448.txt,500,DC ,8.57179,44341.9,maxmin,0,92,44.8,45.6917
../instances/500/test/instance59_nreq500_nveh10_gamma448.txt,500,RC,9.51414,46011.4,maxmin,0,92,44.8,45.6917
