path,N,k1,k2,beam_width,duration,objective
"../instances/100/train/instance19_nreq100_nveh2_gamma86.txt",100,10,0,5,6431.04,3158.79
"../instances/100/train/instance19_nreq100_nveh2_gamma86.txt",100,10,1,5,7118.21,3252.44
"../instances/100/train/instance19_nreq100_nveh2_gamma86.txt",100,10,2,5,7558.69,3277.95
"../instances/100/train/instance19_nreq100_nveh2_gamma86.txt",100,10,1,10,11142.7,3194.47
"../instances/100/train/instance19_nreq100_nveh2_gamma86.txt",100,10,0,10,12360.7,3360.57
"../instances/100/train/instance19_nreq100_nveh2_gamma86.txt",100,10,2,10,12398.1,3207.46
"../instances/100/train/instance19_nreq100_nveh2_gamma86.txt",100,15,2,5,13094.3,3115.93
"../instances/100/train/instance19_nreq100_nveh2_gamma86.txt",100,15,0,5,15618.8,3280.3
"../instances/100/train/instance19_nreq100_nveh2_gamma86.txt",100,15,1,5,18081.6,3072.92
"../instances/100/train/instance19_nreq100_nveh2_gamma86.txt",100,15,2,10,22673.2,2979.02
"../instances/100/train/instance19_nreq100_nveh2_gamma86.txt",100,15,0,10,30458.6,3094.55
"../instances/100/train/instance19_nreq100_nveh2_gamma86.txt",100,15,1,10,31220.1,3087.09
"../instances/100/train/instance4_nreq100_nveh2_gamma93.txt",100,5,2,5,1821.03,3765.81
"../instances/100/train/instance4_nreq100_nveh2_gamma93.txt",100,5,1,5,1919.81,3777.63
"../instances/100/train/instance4_nreq100_nveh2_gamma93.txt",100,5,0,5,1943.8,3979.66
"../instances/100/train/instance4_nreq100_nveh2_gamma93.txt",100,5,0,10,3246.49,3748.78
"../instances/100/train/instance4_nreq100_nveh2_gamma93.txt",100,5,2,10,3434.31,3763.11
"../instances/100/train/instance4_nreq100_nveh2_gamma93.txt",100,5,1,10,3709.46,3744.71
"../instances/100/train/instance4_nreq100_nveh2_gamma93.txt",100,10,0,5,7416.69,3723.92
"../instances/100/train/instance4_nreq100_nveh2_gamma93.txt",100,10,1,5,7720.47,3733.92
"../instances/100/train/instance4_nreq100_nveh2_gamma93.txt",100,10,2,5,7882.4,3592.59
"../instances/100/train/instance4_nreq100_nveh2_gamma93.txt",100,10,0,10,11586.9,3673.9
"../instances/100/train/instance4_nreq100_nveh2_gamma93.txt",100,10,2,10,13406.7,3633.25
"../instances/100/train/instance4_nreq100_nveh2_gamma93.txt",100,15,2,5,12557.4,3553.03
"../instances/100/train/instance4_nreq100_nveh2_gamma93.txt",100,15,1,5,14534.1,3656.46
"../instances/100/train/instance4_nreq100_nveh2_gamma93.txt",100,10,1,10,14919.9,3595.19
"../instances/100/train/instance4_nreq100_nveh2_gamma93.txt",100,15,0,5,16161.6,3553.6
"../instances/100/train/instance4_nreq100_nveh2_gamma93.txt",100,15,1,10,28685.2,3479.19
"../instances/100/train/instance4_nreq100_nveh2_gamma93.txt",100,15,0,10,28759.1,3531.89
"../instances/100/train/instance4_nreq100_nveh2_gamma93.txt",100,15,2,10,27628.3,3543.1
"../instances/100/train/instance20_nreq100_nveh2_gamma86.txt",100,5,1,5,1761.22,3184.77
"../instances/100/train/instance20_nreq100_nveh2_gamma86.txt",100,5,2,5,1823.45,3255.89
"../instances/100/train/instance20_nreq100_nveh2_gamma86.txt",100,5,0,5,1986.76,3271.9
"../instances/100/train/instance20_nreq100_nveh2_gamma86.txt",100,5,0,10,2943.24,3214.98
"../instances/100/train/instance20_nreq100_nveh2_gamma86.txt",100,5,1,10,3191.15,3214.98
"../instances/100/train/instance20_nreq100_nveh2_gamma86.txt",100,5,2,10,3275.15,3214.98
"../instances/100/train/instance20_nreq100_nveh2_gamma86.txt",100,10,1,5,7811.38,2983.73
"../instances/100/train/instance20_nreq100_nveh2_gamma86.txt",100,10,0,5,8006.62,3096.42
"../instances/100/train/instance20_nreq100_nveh2_gamma86.txt",100,10,2,5,8184.13,2972.08
"../instances/100/train/instance20_nreq100_nveh2_gamma86.txt",100,10,1,10,13794.7,2883.4
"../instances/100/train/instance20_nreq100_nveh2_gamma86.txt",100,10,2,10,14038,2890.01
"../instances/100/train/instance20_nreq100_nveh2_gamma86.txt",100,15,2,5,12568.7,2908.85
"../instances/100/train/instance20_nreq100_nveh2_gamma86.txt",100,10,0,10,16848.1,3005.78
"../instances/100/train/instance20_nreq100_nveh2_gamma86.txt",100,15,1,5,17262.5,2879.52
"../instances/100/train/instance20_nreq100_nveh2_gamma86.txt",100,15,0,5,18404.9,3081.72
"../instances/100/train/instance20_nreq100_nveh2_gamma86.txt",100,15,1,10,33743.3,2953.21
"../instances/100/train/instance20_nreq100_nveh2_gamma86.txt",100,15,2,10,32439,2879.48
"../instances/100/train/instance20_nreq100_nveh2_gamma86.txt",100,15,0,10,39410.2,3008.84
"../instances/200/train/instance2_nreq200_nveh4_gamma172.txt",200,5,1,5,3643.55,9367.64
"../instances/200/train/instance2_nreq200_nveh4_gamma172.txt",200,5,2,5,3796.5,9480.94
"../instances/200/train/instance2_nreq200_nveh4_gamma172.txt",200,5,0,5,3939.3,9466.23
"../instances/200/train/instance2_nreq200_nveh4_gamma172.txt",200,5,0,10,7773.43,8963.21
"../instances/200/train/instance2_nreq200_nveh4_gamma172.txt",200,5,1,10,7951.24,8963.21
"../instances/200/train/instance2_nreq200_nveh4_gamma172.txt",200,5,2,10,8019.09,8963.21
"../instances/200/train/instance2_nreq200_nveh4_gamma172.txt",200,10,2,5,15559.4,8980.66
"../instances/200/train/instance2_nreq200_nveh4_gamma172.txt",200,10,1,5,16927.7,8610.71
"../instances/200/train/instance2_nreq200_nveh4_gamma172.txt",200,10,0,5,17256.7,8662.97
"../instances/200/train/instance2_nreq200_nveh4_gamma172.txt",200,10,2,10,21796.2,8768.68
"../instances/200/train/instance2_nreq200_nveh4_gamma172.txt",200,10,0,10,25323.7,8661.01
"../instances/200/train/instance2_nreq200_nveh4_gamma172.txt",200,15,0,5,29284.2,8363.21
"../instances/200/train/instance2_nreq200_nveh4_gamma172.txt",200,10,1,10,30202.9,8607.68
"../instances/200/train/instance2_nreq200_nveh4_gamma172.txt",200,15,2,5,28403.7,8748.19
"../instances/200/train/instance2_nreq200_nveh4_gamma172.txt",200,15,1,5,34554.2,8590.18
"../instances/200/train/instance2_nreq200_nveh4_gamma172.txt",200,15,0,10,59990.7,8437.19
"../instances/200/train/instance2_nreq200_nveh4_gamma172.txt",200,15,1,10,61561.5,8495.64
"../instances/200/train/instance2_nreq200_nveh4_gamma172.txt",200,15,2,10,59102.4,8516.65
"../instances/200/train/instance6_nreq200_nveh4_gamma178.txt",200,5,1,5,4149.13,9943.27
"../instances/200/train/instance6_nreq200_nveh4_gamma178.txt",200,5,2,5,4532.66,9680.91
"../instances/200/train/instance6_nreq200_nveh4_gamma178.txt",200,5,0,5,4548.32,9805.79
"../instances/200/train/instance6_nreq200_nveh4_gamma178.txt",200,5,0,10,7437.23,9626.43
"../instances/200/train/instance6_nreq200_nveh4_gamma178.txt",200,5,2,10,7957.46,9675.47
"../instances/200/train/instance6_nreq200_nveh4_gamma178.txt",200,5,1,10,8564.45,9381.71
"../instances/200/train/instance6_nreq200_nveh4_gamma178.txt",200,10,0,5,14967.9,9053.31
"../instances/200/train/instance6_nreq200_nveh4_gamma178.txt",200,10,1,5,17869.2,8995.79
"../instances/200/train/instance6_nreq200_nveh4_gamma178.txt",200,10,2,5,19037.2,9387.58
"../instances/200/train/instance6_nreq200_nveh4_gamma178.txt",200,10,2,10,30174.2,9273.46
"../instances/200/train/instance6_nreq200_nveh4_gamma178.txt",200,10,0,10,32169.2,9036.1
"../instances/200/train/instance6_nreq200_nveh4_gamma178.txt",200,10,1,10,33124.2,8725.66
"../instances/200/train/instance6_nreq200_nveh4_gamma178.txt",200,15,1,5,36395.4,8866.47
"../instances/200/train/instance6_nreq200_nveh4_gamma178.txt",200,15,0,5,36646.7,8910.53
"../instances/200/train/instance6_nreq200_nveh4_gamma178.txt",200,15,2,5,33004.1,9338.12
"../instances/200/train/instance6_nreq200_nveh4_gamma178.txt",200,15,1,10,64050.8,8868.04
"../instances/200/train/instance6_nreq200_nveh4_gamma178.txt",200,15,0,10,69999.7,8809.55
"../instances/200/train/instance6_nreq200_nveh4_gamma178.txt",200,15,2,10,71090,8807
"../instances/200/train/instance14_nreq200_nveh4_gamma181.txt",200,5,1,5,2574.48,9619.92
"../instances/200/train/instance14_nreq200_nveh4_gamma181.txt",200,5,2,5,3891.03,10060.4
"../instances/200/train/instance14_nreq200_nveh4_gamma181.txt",200,5,0,5,4610.15,10070.3
"../instances/200/train/instance14_nreq200_nveh4_gamma181.txt",200,5,2,10,8053.16,9300.14
"../instances/200/train/instance14_nreq200_nveh4_gamma181.txt",200,5,1,10,8212.33,9550.14
"../instances/200/train/instance14_nreq200_nveh4_gamma181.txt",200,5,0,10,9184.93,9635.3
"../instances/200/train/instance14_nreq200_nveh4_gamma181.txt",200,10,0,5,12969.1,9245.93
"../instances/200/train/instance14_nreq200_nveh4_gamma181.txt",200,10,2,5,15886.6,9107.88
"../instances/200/train/instance14_nreq200_nveh4_gamma181.txt",200,10,1,5,19283,9069.51
"../instances/200/train/instance14_nreq200_nveh4_gamma181.txt",200,10,2,10,26333.4,8877.67
"../instances/200/train/instance14_nreq200_nveh4_gamma181.txt",200,10,1,10,27709,8955.33
"../instances/200/train/instance14_nreq200_nveh4_gamma181.txt",200,15,0,5,33196.9,9021.46
"../instances/200/train/instance14_nreq200_nveh4_gamma181.txt",200,15,2,5,31563.2,9081.53
"../instances/200/train/instance14_nreq200_nveh4_gamma181.txt",200,10,0,10,34524.7,8862.6
"../instances/200/train/instance14_nreq200_nveh4_gamma181.txt",200,15,1,5,34990.2,9221.47
"../instances/200/train/instance14_nreq200_nveh4_gamma181.txt",200,15,0,10,63368.8,8586.75
"../instances/200/train/instance14_nreq200_nveh4_gamma181.txt",200,15,1,10,63895.3,8702.38
"../instances/200/train/instance14_nreq200_nveh4_gamma181.txt",200,15,2,10,71627.2,8741.74
"../instances/200/train/instance28_nreq200_nveh4_gamma176.txt",200,5,0,5,2926.15,9376.68
"../instances/200/train/instance28_nreq200_nveh4_gamma176.txt",200,5,2,5,3650.19,9087.18
"../instances/200/train/instance28_nreq200_nveh4_gamma176.txt",200,5,1,5,3946.33,9180.39
"../instances/200/train/instance28_nreq200_nveh4_gamma176.txt",200,5,0,10,6722.61,9182.47
"../instances/200/train/instance28_nreq200_nveh4_gamma176.txt",200,5,2,10,7138.22,9061.64
"../instances/200/train/instance28_nreq200_nveh4_gamma176.txt",200,5,1,10,7776.96,8807.97
"../instances/200/train/instance28_nreq200_nveh4_gamma176.txt",200,10,1,5,13356.1,8828.28
"../instances/200/train/instance28_nreq200_nveh4_gamma176.txt",200,10,0,5,14601,8989.51
"../instances/200/train/instance28_nreq200_nveh4_gamma176.txt",200,10,2,5,16635.6,8747.41
"../instances/200/train/instance28_nreq200_nveh4_gamma176.txt",200,10,2,10,26511.3,8768.08
"../instances/200/train/instance28_nreq200_nveh4_gamma176.txt",200,10,1,10,26567.4,8204.27
"../instances/200/train/instance28_nreq200_nveh4_gamma176.txt",200,15,2,5,29384.1,8744.81
