path,N,method,fairness_opt,fairness_eval,duration,objective,min,max,mean,std
"../instances/500/test/instance52_nreq500_nveh10_gamma461.txt",500,GA,maxmin,maxmin,13476.7,41798.8,44,50,46.1,1.59513
"../instances/500/test/instance52_nreq500_nveh10_gamma461.txt",500,GA,maxmin,gini,13476.7,41943.9,44,50,46.1,1.59513
"../instances/500/test/instance52_nreq500_nveh10_gamma461.txt",500,GA,gini,jain,12778,40875.7,43,50,46.1,1.91195
"../instances/500/test/instance52_nreq500_nveh10_gamma461.txt",500,GA,gini,maxmin,12778,41061.8,43,50,46.1,1.91195
"../instances/500/test/instance52_nreq500_nveh10_gamma461.txt",500,GA,gini,gini,12778,41201.5,43,50,46.1,1.91195
"../instances/500/test/instance49_nreq500_nveh10_gamma446.txt",500,GA,jain,jain,15569.1,36894,10,70,44.6,22.7899
"../instances/500/test/instance49_nreq500_nveh10_gamma446.txt",500,GA,jain,maxmin,15569.1,37834.5,10,70,44.6,22.7899
"../instances/500/test/instance49_nreq500_nveh10_gamma446.txt",500,GA,jain,gini,15569.1,40785.7,10,70,44.6,22.7899
"../instances/500/test/instance49_nreq500_nveh10_gamma446.txt",500,GA,maxmin,jain,12843.9,37453.8,41,48,44.6,2.45855
"../instances/500/test/instance49_nreq500_nveh10_gamma446.txt",500,GA,maxmin,maxmin,12843.9,37630,41,48,44.6,2.45855
"../instances/500/test/instance49_nreq500_nveh10_gamma446.txt",500,GA,maxmin,gini,12843.9,37756.2,41,48,44.6,2.45855
"../instances/500/test/instance49_nreq500_nveh10_gamma446.txt",500,GA,gini,jain,12586.5,37552.5,43,48,44.6,1.50555
"../instances/500/test/instance49_nreq500_nveh10_gamma446.txt",500,GA,gini,maxmin,12586.5,37793,43,48,44.6,1.50555
"../instances/500/test/instance49_nreq500_nveh10_gamma446.txt",500,GA,gini,gini,12586.5,38009,43,48,44.6,1.50555
"../instances/500/test/instance36_nreq500_nveh10_gamma472.txt",500,GA,jain,jain,16881.1,41385.8,18,86,47.2,20.7086
"../instances/500/test/instance36_nreq500_nveh10_gamma472.txt",500,GA,jain,maxmin,16881.1,42742.8,18,86,47.2,20.7086
"../instances/500/test/instance36_nreq500_nveh10_gamma472.txt",500,GA,jain,gini,16881.1,45754.9,18,86,47.2,20.7086
"../instances/500/test/instance36_nreq500_nveh10_gamma472.txt",500,GA,maxmin,jain,14710.2,41460.6,44,50,47.2,1.68655
"../instances/500/test/instance36_nreq500_nveh10_gamma472.txt",500,GA,maxmin,maxmin,14710.2,41820.5,44,50,47.2,1.68655
"../instances/500/test/instance36_nreq500_nveh10_gamma472.txt",500,GA,maxmin,gini,14710.2,42089.5,44,50,47.2,1.68655
"../instances/500/test/instance36_nreq500_nveh10_gamma472.txt",500,GA,gini,jain,14034.2,41801.7,44,52,47.2,2.25093
"../instances/500/test/instance36_nreq500_nveh10_gamma472.txt",500,GA,gini,maxmin,14034.2,41957.7,44,52,47.2,2.25093
"../instances/500/test/instance36_nreq500_nveh10_gamma472.txt",500,GA,gini,gini,14034.2,42116.9,44,52,47.2,2.25093
"../instances/500/test/instance38_nreq500_nveh10_gamma432.txt",500,GA,jain,jain,14319,37511.5,0,88,43.2,44.3967
"../instances/500/test/instance38_nreq500_nveh10_gamma432.txt",500,GA,jain,maxmin,14319,38585.4,0,88,43.2,44.3967
"../instances/500/test/instance38_nreq500_nveh10_gamma432.txt",500,GA,jain,gini,14319,47745.5,0,88,43.2,44.3967
"../instances/500/test/instance38_nreq500_nveh10_gamma432.txt",500,GA,maxmin,jain,12121.7,37701.3,38,46,43.2,2.25093
"../instances/500/test/instance38_nreq500_nveh10_gamma432.txt",500,GA,maxmin,maxmin,12121.7,38273,38,46,43.2,2.25093
"../instances/500/test/instance38_nreq500_nveh10_gamma432.txt",500,GA,maxmin,gini,12121.7,38814,38,46,43.2,2.25093
"../instances/500/test/instance38_nreq500_nveh10_gamma432.txt",500,GA,gini,jain,11381.4,38321.2,39,46,43.2,2.04396
"../instances/500/test/instance38_nreq500_nveh10_gamma432.txt",500,GA,gini,maxmin,11381.4,38568.7,39,46,43.2,2.04396
"../instances/500/test/instance38_nreq500_nveh10_gamma432.txt",500,GA,gini,gini,11381.4,38773.6,39,46,43.2,2.04396
