path,N,k1,k2,beam_width,duration,objective
"../instances/100/train/instance19_nreq100_nveh2_gamma86.txt",100,10,2,10,11054,3170.72
"../instances/100/train/instance19_nreq100_nveh2_gamma86.txt",100,10,1,10,12966.9,3027.9
"../instances/100/train/instance19_nreq100_nveh2_gamma86.txt",100,15,2,5,11501.1,3096.35
"../instances/100/train/instance19_nreq100_nveh2_gamma86.txt",100,10,0,10,13306.2,3271.88
"../instances/100/train/instance19_nreq100_nveh2_gamma86.txt",100,15,0,5,18376.6,3317.58
"../instances/100/train/instance19_nreq100_nveh2_gamma86.txt",100,15,1,5,19345.1,3207.15
"../instances/100/train/instance19_nreq100_nveh2_gamma86.txt",100,15,0,10,24188.4,3133.12
"../instances/100/train/instance19_nreq100_nveh2_gamma86.txt",100,15,1,10,26201.3,3205.32
"../instances/100/train/instance19_nreq100_nveh2_gamma86.txt",100,15,2,10,25790,3119.44
"../instances/200/train/instance22_nreq200_nveh4_gamma180.txt",200,5,2,5,4121.66,10068.8
"../instances/200/train/instance22_nreq200_nveh4_gamma180.txt",200,5,1,5,4147.3,9746.73
"../instances/200/train/instance22_nreq200_nveh4_gamma180.txt",200,5,0,5,4345.9,10042
"../instances/200/train/instance22_nreq200_nveh4_gamma180.txt",200,5,1,10,6728.96,9760.65
"../instances/200/train/instance22_nreq200_nveh4_gamma180.txt",200,5,2,10,7544.21,9887.22
"../instances/200/train/instance22_nreq200_nveh4_gamma180.txt",200,5,0,10,8219.61,9606.3
"../instances/200/train/instance22_nreq200_nveh4_gamma180.txt",200,10,2,5,19023.6,9604.74
"../instances/200/train/instance22_nreq200_nveh4_gamma180.txt",200,10,1,5,20234.6,9474.98
"../instances/200/train/instance22_nreq200_nveh4_gamma180.txt",200,10,0,5,21515.9,9360.6
"../instances/200/train/instance22_nreq200_nveh4_gamma180.txt",200,10,0,10,30051.9,9232.17
"../instances/200/train/instance22_nreq200_nveh4_gamma180.txt",200,10,2,10,34352.7,9384
"../instances/200/train/instance22_nreq200_nveh4_gamma180.txt",200,15,2,5,30770,9458.61
"../instances/200/train/instance22_nreq200_nveh4_gamma180.txt",200,15,1,5,37286.7,8923.12
"../instances/200/train/instance22_nreq200_nveh4_gamma180.txt",200,10,1,10,37290.5,9198.27
"../instances/200/train/instance22_nreq200_nveh4_gamma180.txt",200,15,0,5,49649.2,9625.52
"../instances/200/train/instance22_nreq200_nveh4_gamma180.txt",200,15,1,10,59286.3,8853.51
"../instances/200/train/instance22_nreq200_nveh4_gamma180.txt",200,15,2,10,64599,8999.85
"../instances/200/train/instance22_nreq200_nveh4_gamma180.txt",200,15,0,10,77024.9,8894.28
"../instances/200/train/instance3_nreq200_nveh4_gamma180.txt",200,5,1,5,3446.14,10460.5
"../instances/200/train/instance3_nreq200_nveh4_gamma180.txt",200,5,2,5,3458.26,10421.2
"../instances/200/train/instance3_nreq200_nveh4_gamma180.txt",200,5,0,5,3474.26,10909.4
"../instances/200/train/instance3_nreq200_nveh4_gamma180.txt",200,5,0,10,6053.06,10375.3
"../instances/200/train/instance3_nreq200_nveh4_gamma180.txt",200,5,1,10,7044.57,10173
"../instances/200/train/instance3_nreq200_nveh4_gamma180.txt",200,5,2,10,7219.69,10021.2
"../instances/200/train/instance3_nreq200_nveh4_gamma180.txt",200,10,1,5,12598.6,10191.4
"../instances/200/train/instance3_nreq200_nveh4_gamma180.txt",200,10,2,5,15054.9,9879.97
"../instances/200/train/instance3_nreq200_nveh4_gamma180.txt",200,10,0,5,15819.8,10429.9
"../instances/200/train/instance3_nreq200_nveh4_gamma180.txt",200,10,2,10,25645.3,9923.04
"../instances/200/train/instance3_nreq200_nveh4_gamma180.txt",200,15,2,5,24121.7,10060
"../instances/200/train/instance3_nreq200_nveh4_gamma180.txt",200,10,1,10,27611.1,9676.21
"../instances/200/train/instance3_nreq200_nveh4_gamma180.txt",200,15,0,5,27995.8,9551.11
"../instances/200/train/instance3_nreq200_nveh4_gamma180.txt",200,10,0,10,30313.4,9841.06
"../instances/200/train/instance3_nreq200_nveh4_gamma180.txt",200,15,1,5,32689.8,9951.28
"../instances/200/train/instance3_nreq200_nveh4_gamma180.txt",200,15,1,10,54833,9455.66
"../instances/200/train/instance3_nreq200_nveh4_gamma180.txt",200,15,0,10,61499.2,9135.83
"../instances/200/train/instance3_nreq200_nveh4_gamma180.txt",200,15,2,10,58283.1,9445.22
"../instances/200/train/instance29_nreq200_nveh4_gamma177.txt",200,5,0,5,3527.44,10362.7
"../instances/200/train/instance29_nreq200_nveh4_gamma177.txt",200,5,1,5,3555.94,10105.2
"../instances/200/train/instance29_nreq200_nveh4_gamma177.txt",200,5,2,5,3711.54,9912.43
"../instances/200/train/instance29_nreq200_nveh4_gamma177.txt",200,5,2,10,6556.53,9649.47
"../instances/200/train/instance29_nreq200_nveh4_gamma177.txt",200,5,0,10,6667.45,9895.16
"../instances/200/train/instance29_nreq200_nveh4_gamma177.txt",200,5,1,10,7031.14,9717.82
"../instances/200/train/instance29_nreq200_nveh4_gamma177.txt",200,10,1,5,15766.1,9428.43
"../instances/200/train/instance29_nreq200_nveh4_gamma177.txt",200,10,2,5,16490.1,9527.45
"../instances/200/train/instance29_nreq200_nveh4_gamma177.txt",200,10,0,5,16543.2,9599.1
"../instances/200/train/instance29_nreq200_nveh4_gamma177.txt",200,15,1,5,24943.4,9117.34
"../instances/200/train/instance29_nreq200_nveh4_gamma177.txt",200,10,2,10,25009.7,9073.04
"../instances/200/train/instance29_nreq200_nveh4_gamma177.txt",200,10,0,10,26907.9,9246.9
"../instances/200/train/instance29_nreq200_nveh4_gamma177.txt",200,15,2,5,23966.7,9390.07
"../instances/200/train/instance29_nreq200_nveh4_gamma177.txt",200,10,1,10,28596.8,9183.54
"../instances/200/train/instance29_nreq200_nveh4_gamma177.txt",200,15,0,5,33754,9358.17
"../instances/200/train/instance29_nreq200_nveh4_gamma177.txt",200,15,1,10,48163.3,8769.95
"../instances/200/train/instance29_nreq200_nveh4_gamma177.txt",200,15,0,10,49869.5,8902.99
"../instances/200/train/instance29_nreq200_nveh4_gamma177.txt",200,15,2,10,54652.1,9157.4
"../instances/200/train/instance2_nreq200_nveh4_gamma172.txt",200,5,1,5,3432.76,9594.26
"../instances/200/train/instance2_nreq200_nveh4_gamma172.txt",200,5,2,5,3499.81,9526.28
"../instances/200/train/instance2_nreq200_nveh4_gamma172.txt",200,5,0,5,4030.27,9698.25
"../instances/200/train/instance2_nreq200_nveh4_gamma172.txt",200,5,1,10,6176.94,9180.7
"../instances/200/train/instance2_nreq200_nveh4_gamma172.txt",200,5,0,10,7147.54,9180.7
"../instances/200/train/instance2_nreq200_nveh4_gamma172.txt",200,5,2,10,7235.49,9180.7
