path,N,k,bw1,bw2,duration,objective
"../instances/200/train/instance26_nreq200_nveh4_gamma175.txt",200,4,5,10,72140.9,9330.06
"../instances/200/train/instance26_nreq200_nveh4_gamma175.txt",200,6,5,10,73007,9218.49
"../instances/200/train/instance26_nreq200_nveh4_gamma175.txt",200,4,10,5,82873.5,9201.84
"../instances/200/train/instance26_nreq200_nveh4_gamma175.txt",200,4,10,10,95565.1,9345.42
"../instances/200/train/instance26_nreq200_nveh4_gamma175.txt",200,6,10,5,105123,8785.8
"../instances/200/train/instance26_nreq200_nveh4_gamma175.txt",200,6,10,10,117852,9738.05
"../instances/500/train/instance20_nreq500_nveh10_gamma470.txt",500,6,5,5,104109,37710.3
"../instances/500/train/instance20_nreq500_nveh10_gamma470.txt",500,6,5,10,129064,40602.6
"../instances/500/train/instance20_nreq500_nveh10_gamma470.txt",500,2,5,5,149769,36530.1
"../instances/500/train/instance20_nreq500_nveh10_gamma470.txt",500,4,5,5,153410,37623.8
"../instances/500/train/instance20_nreq500_nveh10_gamma470.txt",500,6,10,5,170893,39839.7
"../instances/500/train/instance20_nreq500_nveh10_gamma470.txt",500,2,5,10,178150,39971.5
"../instances/500/train/instance20_nreq500_nveh10_gamma470.txt",500,4,5,10,178622,40367.6
"../instances/500/train/instance20_nreq500_nveh10_gamma470.txt",500,6,10,10,198871,42277.7
"../instances/500/train/instance20_nreq500_nveh10_gamma470.txt",500,2,10,5,229581,39959.1
"../instances/500/train/instance20_nreq500_nveh10_gamma470.txt",500,4,10,5,243204,39639.8
"../instances/500/train/instance20_nreq500_nveh10_gamma470.txt",500,4,10,10,260142,42418
"../instances/500/train/instance20_nreq500_nveh10_gamma470.txt",500,2,10,10,265379,42157
"../instances/500/train/instance18_nreq500_nveh10_gamma448.txt",500,4,5,5,120231,34222.8
"../instances/500/train/instance18_nreq500_nveh10_gamma448.txt",500,6,5,10,156280,38949.9
"../instances/500/train/instance18_nreq500_nveh10_gamma448.txt",500,2,5,5,168946,34756.8
"../instances/500/train/instance18_nreq500_nveh10_gamma448.txt",500,6,5,5,171977,33704.7
"../instances/500/train/instance18_nreq500_nveh10_gamma448.txt",500,4,10,5,181503,36917.7
"../instances/500/train/instance18_nreq500_nveh10_gamma448.txt",500,6,10,5,190234,35946.1
"../instances/500/train/instance18_nreq500_nveh10_gamma448.txt",500,4,5,10,192210,38628.7
