path,N,method,duration,objective
"../instances/100/test/instance60_nreq100_nveh2_gamma87.txt",100,GA,14735,2997.12
"../instances/100/test/instance37_nreq100_nveh2_gamma89.txt",100,DC,1.04238,3929
"../instances/100/test/instance37_nreq100_nveh2_gamma89.txt",100,RC,1.20473,4105.58
"../instances/100/test/instance37_nreq100_nveh2_gamma89.txt",100,BS,11.4496,3823.95
"../instances/100/test/instance37_nreq100_nveh2_gamma89.txt",100,VND,164.412,2580.98
"../instances/100/test/instance37_nreq100_nveh2_gamma89.txt",100,SA,0.03089,3900.77
"../instances/100/test/instance37_nreq100_nveh2_gamma89.txt",100,LN,58302.9,3309.07
"../instances/100/test/instance37_nreq100_nveh2_gamma89.txt",100,GA,12345.3,3339.87
"../instances/100/test/instance49_nreq100_nveh2_gamma87.txt",100,DC,1.11572,3756.76
"../instances/100/test/instance49_nreq100_nveh2_gamma87.txt",100,RC,1.13794,4171.34
"../instances/100/test/instance49_nreq100_nveh2_gamma87.txt",100,BS,11.3598,3387.38
"../instances/100/test/instance49_nreq100_nveh2_gamma87.txt",100,VND,213.141,2297.46
"../instances/100/test/instance49_nreq100_nveh2_gamma87.txt",100,SA,1.2468,3756.76
"../instances/100/test/instance49_nreq100_nveh2_gamma87.txt",100,LN,58578.6,3161.59
"../instances/100/test/instance49_nreq100_nveh2_gamma87.txt",100,GA,12146.8,3038.17
"../instances/100/test/instance33_nreq100_nveh2_gamma92.txt",100,DC,0.895137,3966.21
"../instances/100/test/instance33_nreq100_nveh2_gamma92.txt",100,RC,1.30814,4510.67
"../instances/100/test/instance33_nreq100_nveh2_gamma92.txt",100,BS,22.4036,3736.42
"../instances/100/test/instance33_nreq100_nveh2_gamma92.txt",100,VND,177.09,3834.93
"../instances/100/test/instance33_nreq100_nveh2_gamma92.txt",100,SA,0.0015,3966.21
"../instances/100/test/instance33_nreq100_nveh2_gamma92.txt",100,LN,58412.3,3399.17
