path,N,lamda,objective
/home/chris/Desktop/heuristics/instances/50/test/instance49_nreq50_nveh2_gamma44.txt,50,0.2,1912.77
/home/chris/Desktop/heuristics/instances/50/test/instance54_nreq50_nveh2_gamma49.txt,50,0.01,3805.56
/home/chris/Desktop/heuristics/instances/50/test/instance54_nreq50_nveh2_gamma49.txt,50,0.03,3108.29
/home/chris/Desktop/heuristics/instances/50/test/instance54_nreq50_nveh2_gamma49.txt,50,0.05,2321.78
/home/chris/Desktop/heuristics/instances/50/test/instance54_nreq50_nveh2_gamma49.txt,50,0.07,2432.87
/home/chris/Desktop/heuristics/instances/50/test/instance54_nreq50_nveh2_gamma49.txt,50,0.1,2276.74
/home/chris/Desktop/heuristics/instances/50/test/instance54_nreq50_nveh2_gamma49.txt,50,0.15,1977.42
/home/chris/Desktop/heuristics/instances/50/test/instance54_nreq50_nveh2_gamma49.txt,50,0.2,1891.31
/home/chris/Desktop/heuristics/instances/50/test/instance58_nreq50_nveh2_gamma45.txt,50,0.01,2980.99
/home/chris/Desktop/heuristics/instances/50/test/instance58_nreq50_nveh2_gamma45.txt,50,0.03,3110.34
/home/chris/Desktop/heuristics/instances/50/test/instance58_nreq50_nveh2_gamma45.txt,50,0.05,2790.04
/home/chris/Desktop/heuristics/instances/50/test/instance58_nreq50_nveh2_gamma45.txt,50,0.07,2388.01
/home/chris/Desktop/heuristics/instances/50/test/instance58_nreq50_nveh2_gamma45.txt,50,0.1,2303.85
/home/chris/Desktop/heuristics/instances/50/test/instance58_nreq50_nveh2_gamma45.txt,50,0.15,2086.9
/home/chris/Desktop/heuristics/instances/50/test/instance58_nreq50_nveh2_gamma45.txt,50,0.2,2081.86
/home/chris/Desktop/heuristics/instances/50/test/instance38_nreq50_nveh2_gamma43.txt,50,0.01,3444.85
/home/chris/Desktop/heuristics/instances/50/test/instance38_nreq50_nveh2_gamma43.txt,50,0.03,3083.68
/home/chris/Desktop/heuristics/instances/50/test/instance38_nreq50_nveh2_gamma43.txt,50,0.05,2663.42
/home/chris/Desktop/heuristics/instances/50/test/instance38_nreq50_nveh2_gamma43.txt,50,0.07,2687.43
/home/chris/Desktop/heuristics/instances/50/test/instance38_nreq50_nveh2_gamma43.txt,50,0.1,2185.99
/home/chris/Desktop/heuristics/instances/50/test/instance38_nreq50_nveh2_gamma43.txt,50,0.15,1995.77
/home/chris/Desktop/heuristics/instances/50/test/instance38_nreq50_nveh2_gamma43.txt,50,0.2,2052.84
/home/chris/Desktop/heuristics/instances/50/test/instance33_nreq50_nveh2_gamma45.txt,50,0.01,3406.76
/home/chris/Desktop/heuristics/instances/50/test/instance33_nreq50_nveh2_gamma45.txt,50,0.03,2956.76
/home/chris/Desktop/heuristics/instances/50/test/instance33_nreq50_nveh2_gamma45.txt,50,0.05,2798.34
/home/chris/Desktop/heuristics/instances/50/test/instance33_nreq50_nveh2_gamma45.txt,50,0.07,2421.97
/home/chris/Desktop/heuristics/instances/50/test/instance33_nreq50_nveh2_gamma45.txt,50,0.1,2097.54
/home/chris/Desktop/heuristics/instances/50/test/instance33_nreq50_nveh2_gamma45.txt,50,0.15,2116.57
/home/chris/Desktop/heuristics/instances/50/test/instance33_nreq50_nveh2_gamma45.txt,50,0.2,1914.23
/home/chris/Desktop/heuristics/instances/50/test/instance55_nreq50_nveh2_gamma40.txt,50,0.01,3731.15
/home/chris/Desktop/heuristics/instances/50/test/instance55_nreq50_nveh2_gamma40.txt,50,0.03,3349.12
/home/chris/Desktop/heuristics/instances/50/test/instance55_nreq50_nveh2_gamma40.txt,50,0.05,2935.27
/home/chris/Desktop/heuristics/instances/50/test/instance55_nreq50_nveh2_gamma40.txt,50,0.07,2663.72
/home/chris/Desktop/heuristics/instances/50/test/instance55_nreq50_nveh2_gamma40.txt,50,0.1,2381.03
/home/chris/Desktop/heuristics/instances/50/test/instance55_nreq50_nveh2_gamma40.txt,50,0.15,2297.81
/home/chris/Desktop/heuristics/instances/50/test/instance55_nreq50_nveh2_gamma40.txt,50,0.2,1997.93
/home/chris/Desktop/heuristics/instances/50/test/instance52_nreq50_nveh2_gamma44.txt,50,0.01,3374.39
/home/chris/Desktop/heuristics/instances/50/test/instance52_nreq50_nveh2_gamma44.txt,50,0.03,3190.36
/home/chris/Desktop/heuristics/instances/50/test/instance52_nreq50_nveh2_gamma44.txt,50,0.05,2542.2
/home/chris/Desktop/heuristics/instances/50/test/instance52_nreq50_nveh2_gamma44.txt,50,0.07,2332.13
/home/chris/Desktop/heuristics/instances/50/test/instance52_nreq50_nveh2_gamma44.txt,50,0.1,2249.1
/home/chris/Desktop/heuristics/instances/50/test/instance52_nreq50_nveh2_gamma44.txt,50,0.15,1905.93
/home/chris/Desktop/heuristics/instances/50/test/instance52_nreq50_nveh2_gamma44.txt,50,0.2,1858.9
/home/chris/Desktop/heuristics/instances/50/test/instance36_nreq50_nveh2_gamma46.txt,50,0.01,3645.26
/home/chris/Desktop/heuristics/instances/50/test/instance36_nreq50_nveh2_gamma46.txt,50,0.03,3353.3
/home/chris/Desktop/heuristics/instances/50/test/instance36_nreq50_nveh2_gamma46.txt,50,0.05,2789.77
/home/chris/Desktop/heuristics/instances/50/test/instance36_nreq50_nveh2_gamma46.txt,50,0.07,2501.35
/home/chris/Desktop/heuristics/instances/50/test/instance36_nreq50_nveh2_gamma46.txt,50,0.1,2425.26
/home/chris/Desktop/heuristics/instances/50/test/instance36_nreq50_nveh2_gamma46.txt,50,0.15,2175.91
/home/chris/Desktop/heuristics/instances/50/test/instance36_nreq50_nveh2_gamma46.txt,50,0.2,2170.9
/home/chris/Desktop/heuristics/instances/50/test/instance57_nreq50_nveh2_gamma46.txt,50,0.01,3717.78
/home/chris/Desktop/heuristics/instances/50/test/instance57_nreq50_nveh2_gamma46.txt,50,0.03,3246.56
/home/chris/Desktop/heuristics/instances/50/test/instance57_nreq50_nveh2_gamma46.txt,50,0.05,3093.48
/home/chris/Desktop/heuristics/instances/50/test/instance57_nreq50_nveh2_gamma46.txt,50,0.07,2874.34
/home/chris/Desktop/heuristics/instances/50/test/instance57_nreq50_nveh2_gamma46.txt,50,0.1,2540.07
/home/chris/Desktop/heuristics/instances/50/test/instance57_nreq50_nveh2_gamma46.txt,50,0.15,2288.82
/home/chris/Desktop/heuristics/instances/50/test/instance57_nreq50_nveh2_gamma46.txt,50,0.2,2118.62
/home/chris/Desktop/heuristics/instances/50/test/instance59_nreq50_nveh2_gamma45.txt,50,0.01,3490.39
/home/chris/Desktop/heuristics/instances/50/test/instance59_nreq50_nveh2_gamma45.txt,50,0.03,3113.3
/home/chris/Desktop/heuristics/instances/50/test/instance59_nreq50_nveh2_gamma45.txt,50,0.05,2596.13
/home/chris/Desktop/heuristics/instances/50/test/instance59_nreq50_nveh2_gamma45.txt,50,0.07,2424.26
/home/chris/Desktop/heuristics/instances/50/test/instance59_nreq50_nveh2_gamma45.txt,50,0.1,2108.13
/home/chris/Desktop/heuristics/instances/50/test/instance59_nreq50_nveh2_gamma45.txt,50,0.15,1974.06
/home/chris/Desktop/heuristics/instances/50/test/instance59_nreq50_nveh2_gamma45.txt,50,0.2,1941.04
/home/chris/Desktop/heuristics/instances/50/test/instance43_nreq50_nveh2_gamma47.txt,50,0.01,3333.44
