path,alpha,objective
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance45_nreq200_nveh4_gamma180.txt,0.9,26214.3
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance45_nreq200_nveh4_gamma180.txt,1,25492.3
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance41_nreq200_nveh4_gamma196.txt,0.1,29012.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance41_nreq200_nveh4_gamma196.txt,0.2,29964.9
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance41_nreq200_nveh4_gamma196.txt,0.3,30884.8
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance41_nreq200_nveh4_gamma196.txt,0.6,30577.9
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance41_nreq200_nveh4_gamma196.txt,0.7,29168.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance41_nreq200_nveh4_gamma196.txt,0.8,28814.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance41_nreq200_nveh4_gamma196.txt,0.9,29497.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance41_nreq200_nveh4_gamma196.txt,1,29406.9
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance56_nreq200_nveh4_gamma171.txt,0.1,25254.4
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance56_nreq200_nveh4_gamma171.txt,0.2,24611.3
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance56_nreq200_nveh4_gamma171.txt,0.3,24929.4
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance56_nreq200_nveh4_gamma171.txt,0.6,23023.4
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance56_nreq200_nveh4_gamma171.txt,0.7,22455.6
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance56_nreq200_nveh4_gamma171.txt,0.8,22630.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance56_nreq200_nveh4_gamma171.txt,0.9,22712.5
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance56_nreq200_nveh4_gamma171.txt,1,21860.3
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance46_nreq200_nveh4_gamma178.txt,0.1,26754.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance46_nreq200_nveh4_gamma178.txt,0.2,27151.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance46_nreq200_nveh4_gamma178.txt,0.3,27505.6
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance46_nreq200_nveh4_gamma178.txt,0.6,26006.5
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance46_nreq200_nveh4_gamma178.txt,0.7,25700.7
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance46_nreq200_nveh4_gamma178.txt,0.8,25607.5
