path,N,permutation,objective
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance49_nreq200_nveh4_gamma187.txt,200,102,6955.92
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance49_nreq200_nveh4_gamma187.txt,200,120,6250.29
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance49_nreq200_nveh4_gamma187.txt,200,201,6779.48
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance49_nreq200_nveh4_gamma187.txt,200,210,6684.04
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance55_nreq200_nveh4_gamma172.txt,200,12,6178.52
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance55_nreq200_nveh4_gamma172.txt,200,21,6733.75
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance55_nreq200_nveh4_gamma172.txt,200,102,5831.31
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance55_nreq200_nveh4_gamma172.txt,200,120,5901.6
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance55_nreq200_nveh4_gamma172.txt,200,201,6116.15
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance55_nreq200_nveh4_gamma172.txt,200,210,6313.34
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance44_nreq200_nveh4_gamma183.txt,200,12,6073.14
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance44_nreq200_nveh4_gamma183.txt,200,21,6048.04
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance44_nreq200_nveh4_gamma183.txt,200,102,6935.65
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance44_nreq200_nveh4_gamma183.txt,200,120,6223.88
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance44_nreq200_nveh4_gamma183.txt,200,201,6490.57
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance44_nreq200_nveh4_gamma183.txt,200,210,6577.1
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance48_nreq200_nveh4_gamma186.txt,200,12,6964.93
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance48_nreq200_nveh4_gamma186.txt,200,21,7176.85
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance48_nreq200_nveh4_gamma186.txt,200,102,6637.65
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance48_nreq200_nveh4_gamma186.txt,200,120,7101.05
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance48_nreq200_nveh4_gamma186.txt,200,201,7341.53
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance48_nreq200_nveh4_gamma186.txt,200,210,7281.06
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance52_nreq200_nveh4_gamma174.txt,200,12,6503.98
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance52_nreq200_nveh4_gamma174.txt,200,21,6194.14
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance52_nreq200_nveh4_gamma174.txt,200,102,5979.54
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance52_nreq200_nveh4_gamma174.txt,200,120,6633.5
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance52_nreq200_nveh4_gamma174.txt,200,201,6585.76
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance52_nreq200_nveh4_gamma174.txt,200,210,6353.09
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance59_nreq200_nveh4_gamma170.txt,200,12,6368.65
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance59_nreq200_nveh4_gamma170.txt,200,21,5835.43
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance59_nreq200_nveh4_gamma170.txt,200,102,6367.63
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance59_nreq200_nveh4_gamma170.txt,200,120,5777.45
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance59_nreq200_nveh4_gamma170.txt,200,201,6257.62
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance59_nreq200_nveh4_gamma170.txt,200,210,5917.03
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance41_nreq200_nveh4_gamma196.txt,200,12,7358.15
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance41_nreq200_nveh4_gamma196.txt,200,21,7754.92
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance41_nreq200_nveh4_gamma196.txt,200,102,7305.75
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance41_nreq200_nveh4_gamma196.txt,200,120,7296.6
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance41_nreq200_nveh4_gamma196.txt,200,201,7794.81
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance41_nreq200_nveh4_gamma196.txt,200,210,7319.84
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance33_nreq200_nveh4_gamma181.txt,200,12,6934.33
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance33_nreq200_nveh4_gamma181.txt,200,21,6613.92
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance33_nreq200_nveh4_gamma181.txt,200,102,6561.14
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance33_nreq200_nveh4_gamma181.txt,200,120,6401.65
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance33_nreq200_nveh4_gamma181.txt,200,201,6979.01
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance33_nreq200_nveh4_gamma181.txt,200,210,6490.52
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance40_nreq200_nveh4_gamma183.txt,200,12,6328.97
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance40_nreq200_nveh4_gamma183.txt,200,21,6817.07
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance40_nreq200_nveh4_gamma183.txt,200,102,6546.43
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance40_nreq200_nveh4_gamma183.txt,200,120,6668.48
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance40_nreq200_nveh4_gamma183.txt,200,201,7359.25
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance40_nreq200_nveh4_gamma183.txt,200,210,6449.26
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance42_nreq500_nveh10_gamma453.txt,500,12,27993.1
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance42_nreq500_nveh10_gamma453.txt,500,21,28289.6
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance42_nreq500_nveh10_gamma453.txt,500,102,26477.2
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance42_nreq500_nveh10_gamma453.txt,500,120,24477.9
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance42_nreq500_nveh10_gamma453.txt,500,201,27796
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance42_nreq500_nveh10_gamma453.txt,500,210,27683.9
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance52_nreq500_nveh10_gamma461.txt,500,12,27966
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance52_nreq500_nveh10_gamma461.txt,500,21,26544.7
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance52_nreq500_nveh10_gamma461.txt,500,102,25867.2
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance52_nreq500_nveh10_gamma461.txt,500,120,27666.8
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance52_nreq500_nveh10_gamma461.txt,500,201,28652.6
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance52_nreq500_nveh10_gamma461.txt,500,210,26687.3
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance44_nreq500_nveh10_gamma470.txt,500,12,26757.2
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance44_nreq500_nveh10_gamma470.txt,500,21,30856.1
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance44_nreq500_nveh10_gamma470.txt,500,102,26459.6
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance44_nreq500_nveh10_gamma470.txt,500,120,26044
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance44_nreq500_nveh10_gamma470.txt,500,201,29724.6
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance44_nreq500_nveh10_gamma470.txt,500,210,28550.7
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance50_nreq500_nveh10_gamma456.txt,500,12,27169
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance50_nreq500_nveh10_gamma456.txt,500,21,28150.7
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance50_nreq500_nveh10_gamma456.txt,500,102,26956.4
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance50_nreq500_nveh10_gamma456.txt,500,120,26585.7
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance50_nreq500_nveh10_gamma456.txt,500,201,27041.7
/home/christoforos.eseroglou/Desktop/heuristics/instances/500/test/instance50_nreq500_nveh10_gamma456.txt,500,210,28294.4
