path,N,lamda,objective
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance54_nreq50_nveh2_gamma49.txt,50,0.15,1718.78
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance54_nreq50_nveh2_gamma49.txt,50,0.2,1636.62
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance40_nreq50_nveh2_gamma46.txt,50,0.01,2987.61
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance40_nreq50_nveh2_gamma46.txt,50,0.03,3026.64
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance40_nreq50_nveh2_gamma46.txt,50,0.05,2581.67
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance40_nreq50_nveh2_gamma46.txt,50,0.07,2392.55
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance40_nreq50_nveh2_gamma46.txt,50,0.1,2167.63
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance40_nreq50_nveh2_gamma46.txt,50,0.15,1902.11
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance40_nreq50_nveh2_gamma46.txt,50,0.2,1783.94
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance32_nreq50_nveh2_gamma45.txt,50,0.01,2902.11
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance32_nreq50_nveh2_gamma45.txt,50,0.03,2522.54
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance32_nreq50_nveh2_gamma45.txt,50,0.05,2267.34
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance32_nreq50_nveh2_gamma45.txt,50,0.07,2101.11
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance32_nreq50_nveh2_gamma45.txt,50,0.1,1966.79
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance32_nreq50_nveh2_gamma45.txt,50,0.15,1651.79
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance32_nreq50_nveh2_gamma45.txt,50,0.2,1821.52
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance37_nreq50_nveh2_gamma45.txt,50,0.01,3186.01
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance37_nreq50_nveh2_gamma45.txt,50,0.03,2841.89
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance37_nreq50_nveh2_gamma45.txt,50,0.05,2246.59
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance37_nreq50_nveh2_gamma45.txt,50,0.07,2279.61
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance37_nreq50_nveh2_gamma45.txt,50,0.1,2045.45
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance37_nreq50_nveh2_gamma45.txt,50,0.15,1838.27
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance37_nreq50_nveh2_gamma45.txt,50,0.2,1710.13
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance43_nreq50_nveh2_gamma47.txt,50,0.01,3076.94
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance43_nreq50_nveh2_gamma47.txt,50,0.03,2946.86
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance43_nreq50_nveh2_gamma47.txt,50,0.05,2325.39
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance43_nreq50_nveh2_gamma47.txt,50,0.07,2047.06
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance43_nreq50_nveh2_gamma47.txt,50,0.1,1972.97
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance43_nreq50_nveh2_gamma47.txt,50,0.15,1670.47
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance43_nreq50_nveh2_gamma47.txt,50,0.2,1740.6
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance59_nreq50_nveh2_gamma45.txt,50,0.01,2970.23
