path,N,alpha,beam_width,objective
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.2,9,654.165
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.3,9,634.359
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.4,9,688.22
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.5,9,719.288
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.6,9,687.528
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.7,9,648.214
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.8,9,677.012
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.9,9,625.221
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,1,9,698.046
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.1,10,782.001
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.2,10,652.18
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.3,10,634.359
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.4,10,678.153
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.5,10,719.288
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.6,10,687.528
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.7,10,659.129
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.8,10,688.01
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.9,10,631.07
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,1,10,705.024
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance51_nreq50_nveh2_gamma45.txt,50,0.1,1,778.123
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance51_nreq50_nveh2_gamma45.txt,50,0.2,1,854.873
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance51_nreq50_nveh2_gamma45.txt,50,0.3,1,949.127
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance51_nreq50_nveh2_gamma45.txt,50,0.4,1,942.66
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance51_nreq50_nveh2_gamma45.txt,50,0.5,1,976.009
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance51_nreq50_nveh2_gamma45.txt,50,0.6,1,951
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance51_nreq50_nveh2_gamma45.txt,50,0.7,1,779.128
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance51_nreq50_nveh2_gamma45.txt,50,0.8,1,846.02
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance51_nreq50_nveh2_gamma45.txt,50,0.9,1,900.019
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance51_nreq50_nveh2_gamma45.txt,50,1,1,902.003
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance51_nreq50_nveh2_gamma45.txt,50,0.1,2,819.116
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance51_nreq50_nveh2_gamma45.txt,50,0.2,2,776.259
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance51_nreq50_nveh2_gamma45.txt,50,0.3,2,922.291
