path,N,T,iters,alpha,objective
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance45_nreq50_nveh2_gamma42.txt,50,50,100,0.95,989.408
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance45_nreq50_nveh2_gamma42.txt,50,50,100,0.97,967.364
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance45_nreq50_nveh2_gamma42.txt,50,50,100,0.99,999.428
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance45_nreq50_nveh2_gamma42.txt,50,100,100,0.95,928.279
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance45_nreq50_nveh2_gamma42.txt,50,100,100,0.97,1005.44
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance45_nreq50_nveh2_gamma42.txt,50,100,100,0.99,1033.49
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance54_nreq100_nveh2_gamma85.txt,100,10,100,0.95,2908.85
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance54_nreq100_nveh2_gamma85.txt,100,10,100,0.97,2759.69
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance54_nreq100_nveh2_gamma85.txt,100,10,100,0.99,2856.8
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance54_nreq100_nveh2_gamma85.txt,100,50,100,0.95,2911.86
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance54_nreq100_nveh2_gamma85.txt,100,50,100,0.97,2860.8
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance54_nreq100_nveh2_gamma85.txt,100,50,100,0.99,2864.81
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance54_nreq100_nveh2_gamma85.txt,100,100,100,0.95,2747.68
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance54_nreq100_nveh2_gamma85.txt,100,100,100,0.97,2825.76
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance54_nreq100_nveh2_gamma85.txt,100,100,100,0.99,3732.51
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance52_nreq100_nveh2_gamma89.txt,100,10,100,0.95,2731.58
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance52_nreq100_nveh2_gamma89.txt,100,10,100,0.97,2872.66
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance52_nreq100_nveh2_gamma89.txt,100,10,100,0.99,2833.64
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance52_nreq100_nveh2_gamma89.txt,100,50,100,0.95,2845.64
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance52_nreq100_nveh2_gamma89.txt,100,50,100,0.97,3570.95
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance52_nreq100_nveh2_gamma89.txt,100,50,100,0.99,2865.65
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance52_nreq100_nveh2_gamma89.txt,100,100,100,0.95,2711.57
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance52_nreq100_nveh2_gamma89.txt,100,100,100,0.97,2731.58
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance52_nreq100_nveh2_gamma89.txt,100,100,100,0.99,3570.95
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance34_nreq100_nveh2_gamma87.txt,100,10,100,0.95,3507.24
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance34_nreq100_nveh2_gamma87.txt,100,10,100,0.97,3507.24
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance34_nreq100_nveh2_gamma87.txt,100,10,100,0.99,3507.24
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance34_nreq100_nveh2_gamma87.txt,100,50,100,0.95,3507.24
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance34_nreq100_nveh2_gamma87.txt,100,50,100,0.97,2726.8
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance34_nreq100_nveh2_gamma87.txt,100,50,100,0.99,3507.24
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance34_nreq100_nveh2_gamma87.txt,100,100,100,0.95,3507.24
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance34_nreq100_nveh2_gamma87.txt,100,100,100,0.97,3507.24
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance34_nreq100_nveh2_gamma87.txt,100,100,100,0.99,3507.24
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance45_nreq100_nveh2_gamma94.txt,100,10,100,0.95,3440.22
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance45_nreq100_nveh2_gamma94.txt,100,10,100,0.97,4233.72
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance45_nreq100_nveh2_gamma94.txt,100,10,100,0.99,3313.12
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance45_nreq100_nveh2_gamma94.txt,100,50,100,0.95,3216.03
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance45_nreq100_nveh2_gamma94.txt,100,50,100,0.97,4233.72
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance45_nreq100_nveh2_gamma94.txt,100,50,100,0.99,4233.72
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance45_nreq100_nveh2_gamma94.txt,100,100,100,0.95,3181
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance45_nreq100_nveh2_gamma94.txt,100,100,100,0.97,3304.11
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance45_nreq100_nveh2_gamma94.txt,100,100,100,0.99,3246.06
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance57_nreq100_nveh2_gamma91.txt,100,10,100,0.95,2985.3
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance57_nreq100_nveh2_gamma91.txt,100,10,100,0.97,3876.7
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance57_nreq100_nveh2_gamma91.txt,100,10,100,0.99,3876.7
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance57_nreq100_nveh2_gamma91.txt,100,50,100,0.95,3876.7
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance57_nreq100_nveh2_gamma91.txt,100,50,100,0.97,2883.23
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance57_nreq100_nveh2_gamma91.txt,100,50,100,0.99,3064.34
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance57_nreq100_nveh2_gamma91.txt,100,100,100,0.95,3876.7
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance57_nreq100_nveh2_gamma91.txt,100,100,100,0.97,3876.7
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance57_nreq100_nveh2_gamma91.txt,100,100,100,0.99,3120.37
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance44_nreq100_nveh2_gamma89.txt,100,10,100,0.95,4182.11
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance44_nreq100_nveh2_gamma89.txt,100,10,100,0.97,4182.11
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance44_nreq100_nveh2_gamma89.txt,100,10,100,0.99,4182.11
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance44_nreq100_nveh2_gamma89.txt,100,50,100,0.95,4182.11
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance44_nreq100_nveh2_gamma89.txt,100,50,100,0.97,3202.54
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance44_nreq100_nveh2_gamma89.txt,100,50,100,0.99,3220.56
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance44_nreq100_nveh2_gamma89.txt,100,100,100,0.95,3144.5
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance44_nreq100_nveh2_gamma89.txt,100,100,100,0.97,4182.11
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance44_nreq100_nveh2_gamma89.txt,100,100,100,0.99,3143.5
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance55_nreq100_nveh2_gamma88.txt,100,10,100,0.95,3056.36
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance55_nreq100_nveh2_gamma88.txt,100,10,100,0.97,2684.46
